year,name,number,time,latitude,longitude,rank
2020,하이선,10,2020-09-01 12:00,20.5N,143.9E,TS
2020,하이선,10,2020-09-01 18:00,19.9N,143.5E,TS
2020,하이선,10,2020-09-02 0:00,19.2N,142.5E,TS
2020,하이선,10,2020-09-02 6:00,19.4N,141.5E,TS
2020,하이선,10,2020-09-02 12:00,19.8N,140.7E,STS
2020,하이선,10,2020-09-02 18:00,20N,139.4E,STS
2020,하이선,10,2020-09-03 0:00,20.2N,138.5E,TY
2020,하이선,10,2020-09-03 6:00,20.6N,137.6E,TY
2020,하이선,10,2020-09-03 12:00,21N,136.6E,TY
2020,하이선,10,2020-09-03 18:00,21.2N,135.8E,TY
2020,하이선,10,2020-09-04 0:00,21.8N,135.1E,TY
2020,하이선,10,2020-09-04 6:00,22.2N,134.3E,TY
2020,하이선,10,2020-09-04 12:00,22.7N,133.5E,TY
2020,하이선,10,2020-09-04 18:00,23.3N,132.6E,TY
2020,하이선,10,2020-09-05 0:00,23.9N,132.1E,TY
2020,하이선,10,2020-09-05 6:00,24.7N,131.5E,TY
2020,하이선,10,2020-09-05 12:00,25.4N,131E,TY
2020,하이선,10,2020-09-05 18:00,26.4N,130.9E,TY
2020,하이선,10,2020-09-06 0:00,27.7N,130.6E,TY
2020,하이선,10,2020-09-06 6:00,29.4N,130.1E,TY
2020,하이선,10,2020-09-06 9:00,30.2N,129.8E,TY
2020,하이선,10,2020-09-06 12:00,31N,129.5E,TY
2020,하이선,10,2020-09-06 15:00,31.9N,129.3E,TY
2020,하이선,10,2020-09-06 18:00,32.9N,129.1E,TY
2020,하이선,10,2020-09-06 21:00,34N,129.2E,TY
2020,하이선,10,2020-09-07 0:00,35.3N,129.3E,TY
2020,하이선,10,2020-09-07 3:00,36.9N,129.2E,STS
2020,하이선,10,2020-09-07 6:00,38.6N,128.9E,STS
2020,하이선,10,2020-09-07 9:00,39.4N,128.7E,STS
2020,하이선,10,2020-09-07 12:00,40.4N,128.6E,LOW
2020,장미,5,2020-08-08 18:00,21.4N,126.2E,TS
2020,장미,5,2020-08-09 0:00,23.3N,126E,TS
2020,장미,5,2020-08-09 6:00,24.4N,126.2E,TS
2020,장미,5,2020-08-09 12:00,27.3N,126.4E,TS
2020,장미,5,2020-08-09 15:00,28.9N,126.3E,TS
2020,장미,5,2020-08-09 18:00,30.1N,126.5E,TS
2020,장미,5,2020-08-09 21:00,31.1N,126.9E,TS
2020,장미,5,2020-08-10 0:00,32.1N,127.4E,TS
2020,장미,5,2020-08-10 3:00,33.4N,128E,TS
2020,장미,5,2020-08-10 6:00,34.8N,128.6E,TS
2020,장미,5,2020-08-10 8:00,35.6N,129.2E,LOW
2020,마이삭,9,2020-08-28 6:00,17.2N,130.3E,TS
2020,마이삭,9,2020-08-28 12:00,17.1N,129.8E,TS
2020,마이삭,9,2020-08-28 18:00,16.7N,129.7E,TS
2020,마이삭,9,2020-08-29 0:00,16.4N,129.8E,STS
2020,마이삭,9,2020-08-29 6:00,16.6N,129.6E,STS
2020,마이삭,9,2020-08-29 12:00,17N,129.2E,STS
2020,마이삭,9,2020-08-29 18:00,17.1N,129E,STS
2020,마이삭,9,2020-08-30 0:00,17N,129.1E,STS
2020,마이삭,9,2020-08-30 6:00,18.5N,129E,TY
2020,마이삭,9,2020-08-30 12:00,19.2N,129E,TY
2020,마이삭,9,2020-08-30 18:00,20.7N,128.9E,TY
2020,마이삭,9,2020-08-31 0:00,22.4N,128.5E,TY
2020,마이삭,9,2020-08-31 6:00,24.2N,127.7E,TY
2020,마이삭,9,2020-08-31 12:00,25N,127.2E,TY
2020,마이삭,9,2020-08-31 18:00,26.1N,126.5E,TY
2020,마이삭,9,2020-09-01 0:00,26.9N,126E,TY
2020,마이삭,9,2020-09-01 6:00,27.6N,126.1E,TY
2020,마이삭,9,2020-09-01 12:00,28.4N,126.3E,TY
2020,마이삭,9,2020-09-01 15:00,29N,126.5E,TY
2020,마이삭,9,2020-09-01 18:00,29.4N,126.6E,TY
2020,마이삭,9,2020-09-01 21:00,30N,126.7E,TY
2020,마이삭,9,2020-09-02 0:00,30.5N,126.8E,TY
2020,마이삭,9,2020-09-02 3:00,31.1N,126.9E,TY
2020,마이삭,9,2020-09-02 6:00,31.6N,127.1E,TY
2020,마이삭,9,2020-09-02 9:00,32.4N,127.5E,TY
2020,마이삭,9,2020-09-02 12:00,33.1N,127.9E,TY
2020,마이삭,9,2020-09-02 15:00,34N,128.4E,TY
2020,마이삭,9,2020-09-02 18:00,35.4N,128.9E,TY
2020,마이삭,9,2020-09-02 21:00,37.3N,129.1E,TY
2020,마이삭,9,2020-09-03 0:00,38.9N,129.2E,TY
2020,마이삭,9,2020-09-03 3:00,40.1N,129E,LOW
